Duration,Speaker,Language,Category,Turn,Classification,,
,oma,ru,cds,non-contingent,question,,
1.43,tch,tch,tch,initiation,vocalisation,,
15.433,oma,ru,cds,contingent,play,,
,oma,ru,cds,contingent,play,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,backchannel,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
4.039,oma,ru,cds,non-contingent,backchannel,,
,oma,ru,cds,non-contingent,imperative,,
8.409,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
5.799,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,initiation,question,,
0.95,tch,tch,tch,contingent,fussing,,
19,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,exclamation,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,exclamation,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
1.227,tch,tch,tch,non-contingent,grunting,,
0.68,tch,tch,tch,initiation,vocalisation,,
8.539,oma,ru,cds,contingent,praise,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
7.191,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
2.88,tch,tch,tch,non-contingent,babbling,,
1.424,tch,tch,tch,non-contingent,babbling,,
3.096,tch,tch,tch,non-contingent,babbling,,
1.05,tch,tch,tch,non-contingent,vocalisation,,
2.322,tch,tch,tch,non-contingent,babbling,,
2.189,tch,tch,tch,non-contingent,babbling,,
1.761,tch,tch,tch,non-contingent,vocalisation,,
5.633,tch,tch,tch,non-contingent,babbling,,
1.529,tch,tch,tch,initiation,fussing,,
2.27,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,exclamation,,
1.1,tch,tch,tch,contingent,fussing,,
3.467,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
5.204,tch,tch,tch,non-contingent,grunting,,
7.63,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,exclamation,,
4.535,tch,tch,tch,non-contingent,babbling,,
1.5,oma,ru,cds,initiation,praise,,
0.93,tch,tch,tch,contingent,babbling,,
0.82,oma,ru,cds,contingent,backchannel,,
1.088,tch,tch,tch,contingent,babbling,,
10.37,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
1.58,oma,ru,cds,non-contingent,question,,
1.71,oma,ru,cds,non-contingent,question,,
4.845,tch,tch,tch,initiation,iconic,,
2.309,oma,ru,cds,contingent,iconic imitation,,
,oma,ru,cds,contingent,semantic expansion,,
1.142,tch,tch,tch,non-contingent,babbling,,
3.251,tch,tch,tch,non-contingent,babbling,,
2.841,tch,tch,tch,non-contingent,babbling,,
2.516,tch,tch,tch,non-contingent,babbling,,
3.992,tch,tch,tch,non-contingent,babbling,,
2.316,tch,tch,tch,non-contingent,babbling,,
2.178,tch,tch,tch,non-contingent,babbling,,
1.546,tch,tch,tch,non-contingent,vocalisation,,
1.479,tch,tch,tch,non-contingent,babbling,,
1.425,tch,tch,tch,non-contingent,babbling,,
1.32,tch,tch,tch,non-contingent,speech-like,,
4.4,tch,tch,tch,non-contingent,speech-like,,
10.078,tch,tch,tch,non-contingent,babbling,,
17.099,tch,tch,tch,non-contingent,fussing,,
4.546,tch,tch,tch,non-contingent,fussing,,
9.763,tch,tch,tch,non-contingent,fussing,,
5.592,tch,tch,tch,non-contingent,babbling,,
12.89,tch,tch,tch,non-contingent,babbling,,
12.978,tch,tch,tch,non-contingent,fussing,,
4.197,tch,tch,tch,non-contingent,babbling,,
21.845,tch,tch,tch,initiation,fussing,,
26.25,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,non-contingent,iconic,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,iconic,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,iconic,,
4.63,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,initiation,backchannel,,
8.09,tch,tch,tch,contingent,fussing,,
27.474,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,praise,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,praise,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,scaffolding,,
,oma,ru,cds,contingent,scaffolding,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,scaffolding,,
1.13,tch,tch,tch,initiation,babbling,,
4.579,oma,ru,cds,contingent,description,,
12.09,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,description,,
1.46,tch,tch,tch,contingent,fussing,,
7.54,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,singing,,
1.37,tch,tch,tch,contingent,iconic,,
33.748,oma,ru,cds,contingent,semantic expansion,,
,oma,ru,cds,contingent,singing,,
,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,iconic,,
,oma,ru,cds,contingent,singing,,
,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
40.978,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,singing,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,initiation,imperative,,
0.99,tch,tch,tch,contingent,fussing,,
106.711,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,exclamation,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,praise,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,scaffolding,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,iconic,,
,oma,ru,cds,contingent,iconic,,
,oma,ru,cds,contingent,description,,
,tch,tch,tch,contingent,crying,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,scaffolding,,
,oma,ru,cds,contingent,iconic,,
,oma,ru,cds,contingent,exclamation,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,iconic,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,question,,
88.18,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,backchannel,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,backchannel,,
,oma,ru,cds,initiation,play,,
0.72,tch,tch,tch,contingent,grunting,,
33.89,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,backchannel,,
26.48,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,initiation,description,,
4.09,tch,tch,tch,contingent,fussing,,
4.703,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,scaffolding,,
,oma,ru,cds,contingent,exclamation,,
1.24,tch,tch,tch,initiation,fussing,,
1.26,oma,ru,cds,contingent,imperative,,
2.38,tch,tch,tch,initiation,grunting,,
4.32,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,description,,
3.25,tch,tch,tch,initiation,babbling,,
1.14,oma,ru,cds,contingent,imperative,,
1.85,tch,tch,tch,initiation,vocalisation,,
5.45,oma,ru,cds,contingent,praise,,
,oma,ru,cds,contingent,praise,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,praise,,
1.71,oma,ru,cds,contingent,praise,,
0.53,tch,tch,tch,contingent,vocalisation,,
2.975,oma,ru,cds,contingent,vocal imitation,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,imperative,,
1.059,tch,tch,tch,initiation,vocalisation,,
3.03,oma,ru,cds,contingent,vocal imitation,,
,oma,ru,cds,contingent,praise,,
,oma,ru,cds,contingent,question,,
1.11,tch,tch,tch,contingent,grunting,,
5.656,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,description,,
4.011,tch,tch,tch,non-contingent,babbling,,
10.307,tch,tch,tch,non-contingent,babbling,,
3.522,tch,tch,tch,non-contingent,babbling,,
8.927,tch,tch,tch,non-contingent,babbling,,
3.456,tch,tch,tch,non-contingent,babbling,,
4.686,tch,tch,tch,non-contingent,babbling,,
1.872,tch,tch,tch,non-contingent,babbling,,
3.009,tch,tch,tch,non-contingent,babbling,,
1.568,tch,tch,tch,non-contingent,fussing,,
3.078,tch,tch,tch,non-contingent,grunting,,
4.122,tch,tch,tch,non-contingent,grunting,,
6.231,tch,tch,tch,non-contingent,fussing,,
8.818,tch,tch,tch,non-contingent,grunting,,
5.993,tch,tch,tch,non-contingent,grunting,,
1.631,tch,tch,tch,non-contingent,grunting,,
3.497,tch,tch,tch,non-contingent,grunting,,
1.45,tch,tch,tch,non-contingent,babbling,,
6.685,tch,tch,tch,non-contingent,babbling,,
3.01,tch,tch,tch,non-contingent,grunting,,
1.945,tch,tch,tch,non-contingent,babbling,,
3.996,tch,tch,tch,non-contingent,babbling,,
4.372,tch,tch,tch,non-contingent,babbling,,
1.3,tch,tch,tch,non-contingent,vocalisation,,
2.004,tch,tch,tch,non-contingent,babbling,,
1.283,tch,tch,tch,non-contingent,vocalisation,,
4.262,tch,tch,tch,non-contingent,babbling,,
1.962,tch,tch,tch,non-contingent,yawning,,
1.496,tch,tch,tch,non-contingent,babbling,,
1.521,tch,tch,tch,non-contingent,vocalisation,,
4.286,tch,tch,tch,non-contingent,babbling,,
3.232,tch,tch,tch,non-contingent,babbling,,
2.7,tch,tch,tch,non-contingent,babbling,,
2.346,tch,tch,tch,non-contingent,grunting,,
2.576,tch,tch,tch,non-contingent,grunting,,
2.442,tch,tch,tch,non-contingent,babbling,,
1.12,tch,tch,tch,initiation,vocalisation,,
2.84,oma,ru,cds,contingent,praise,,
3.136,oma,ru,cds,contingent,praise,,
0.47,tch,tch,tch,contingent,iconic,,
7.97,oma,ru,cds,contingent,syntactic expansion,,
,oma,ru,cds,contingent,syntactic expansion,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,imperative,,
16.592,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,initiation,question,,
1.75,tch,tch,tch,contingent,iconic,,
1.82,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,iconic imitation,,
1.29,tch,tch,tch,contingent,babbling,,
25.795,oma,ru,cds,contingent,iconic imitation,,
,oma,ru,cds,contingent,syntactic expansion,,
,oma,ru,cds,contingent,syntactic expansion,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
5.829,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,backchannel,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,backchannel,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
49.481,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,initiation,imperative,,
1.72,tch,tch,tch,contingent,fussing,,
11.337,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
5.924,oma,ru,cds,non-contingent,backchannel,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,backchannel,,
,oma,ru,cds,initiation,description,,
0.44,tch,tch,tch,contingent,laughing,,
12.21,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,play,,
,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,play,,
,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,exclamation,,
3.59,tch,tch,tch,contingent,babbling,,
1.772,oma,ru,cds,contingent,backchannel,,
1.3,oma,ru,cds,contingent,scaffolding,,
,oma,ru,cds,contingent,scaffolding,,
1.43,tch,tch,tch,contingent,babbling,,
21.27,oma,ru,cds,contingent,prosodic imitation,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,backchannel,,
,oma,ru,cds,initiation,imperative,,
1.14,tch,tch,tch,contingent,babbling,,
56.94,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,iconic,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,iconic,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,iconic,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,initiation,question,,
1.89,tch,tch,tch,contingent,fussing,,
52.785,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,iconic,,
,oma,ru,cds,contingent,exclamation,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,non-contingent,iconic,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,iconic,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,scaffolding,,
19.114,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,initiation,iconic,,
0.75,tch,tch,tch,contingent,iconic,,
10.83,oma,ru,cds,contingent,semantic expansion,,
,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,semantic expansion,,
,oma,ru,cds,contingent,iconic imitation,,
,oma,ru,cds,contingent,play,,
1,tch,tch,tch,contingent,iconic,,
58.536,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,syntactic expansion,,
,oma,ru,cds,contingent,semantic expansion,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,praise,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,iconic,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,non-contingent,iconic,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
10.373,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,initiation,iconic,,
0.45,tch,tch,tch,contingent,grunting,,
76.74,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,iconic,,
,oma,ru,cds,contingent,play,,
,oma,ru,cds,contingent,iconic,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,backchannel,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,description,,
6.336,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
1.523,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,backchannel,,
25.535,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
60.434,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,play,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
2.779,oma,ru,cds,non-contingent,description,,
11.557,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
14.119,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,play,,
5.461,oma,ru,cds,non-contingent,description,,
2.967,oma,ru,cds,non-contingent,play,,
39.22,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,initiation,description,,
0.4,tch,tch,tch,contingent,vocalisation,,
17.907,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
1.28,oma,ru,cds,initiation,imperative,,
1.068,tch,tch,tch,contingent,grunting,,
4.908,tch,tch,tch,initiation,fussing,,
5.656,oma,ru,cds,contingent,scaffolding,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,imperative,,
1.6,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,initiation,imperative,,
0.91,tch,tch,tch,contingent,fussing,,
2.172,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,scaffolding,,
1.571,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,imperative,,
12.66,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,initiation,description,,
2.783,tch,tch,tch,contingent,fussing,,
32.894,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,exclamation,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,backchannel,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,description,,
1.129,oma,ru,cds,initiation,exclamation,,
1.41,tch,tch,tch,contingent,crying,,
17.065,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,scaffolding,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,scaffolding,,
1.649,oma,ru,cds,non-contingent,exclamation,,
1.679,oma,ru,cds,non-contingent,exclamation,,
16.998,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,backchannel,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
0.75,tch,tch,tch,initiation,babbling,,
2.59,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,imperative,,
,tch,tch,tch,contingent,fussing,,
18.64,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,exclamation,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,imperative,,
11.15,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,initiation,description,,
2.191,tch,tch,tch,contingent,babbling,,
8.766,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,initiation,exclamation,,
0.833,tch,tch,tch,contingent,fussing,,
4.62,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
25.88,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,description,,
3.86,tch,tch,tch,initiation,iconic,,
31.619,oma,ru,cds,contingent,scaffolding,,
,oma,ru,cds,contingent,scaffolding,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,backchannel,,
,oma,ru,cds,non-contingent,description,,
3.82,tch,tch,tch,initiation,babbling,,
1.794,oma,ru,cds,contingent,description,,
