Duration,Speaker,Language,Category,Turn,Classification,,
2.582,mam,ru,cds,contingent,iconic imitation,,
6.169,mam,ru,cds,non-contingent,exclamation,,
,mam,ru,cds,non-contingent,play,,
,mam,ru,cds,non-contingent,exclamation,,
,mam,ru,cds,non-contingent,description,,
0.98,tch,tch,tch,initiation,babbling,,
1.291,mam,ru,cds,contingent,backchannel,,
1.13,tch,tch,tch,non-contingent,babbling,,
1.08,tch,tch,tch,non-contingent,babbling,,
1.41,oma,ru,ads,non-contingent,ads,,
0.94,tch,tch,tch,initiation,vocalisation,,
0.97,oma,ru,cds,contingent,backchannel,,
6.672,oma,ru,ads,non-contingent,ads,,
,oma,ru,ads,non-contingent,ads,,
,oma,ru,ads,non-contingent,ads,,
,oma,ru,ads,non-contingent,ads,,
3.707,tch,tch,tch,non-contingent,babbling,,
0.83,tch,tch,tch,non-contingent,babbling,,
3.66,oma,ru,ads,non-contingent,ads,,
,oma,ru,ads,non-contingent,ads,,
1.484,oma,ru,ads,non-contingent,ads,,
1.69,tch,tch,tch,non-contingent,babbling,,
1.62,tch,tch,tch,initiation,babbling,,
1.76,mam,ru,cds,contingent,vocal imitation,,
2.459,tch,tch,tch,non-contingent,babbling,,
5.11,mam,ru,cds,non-contingent,description,,
,mam,ru,cds,initiation,iconic,,
0.91,tch,tch,tch,contingent,babbling,,
1.73,mam,ru,cds,contingent,imperative,,
,mam,ru,cds,contingent,imperative,,
2.362,tch,tch,tch,non-contingent,babbling,,
1.64,tch,tch,tch,initiation,babbling,,
2.29,mam,ru,cds,contingent,description,,
,mam,ru,cds,contingent,praise,,
,mam,ru,cds,contingent,description,,
1.92,tch,tch,tch,non-contingent,babbling,,
1.23,tch,tch,tch,initiation,speech-like,,
3.044,mam,ru,cds,contingent,repair 3,,
1.356,mam,ru,cds,initiation,repair 3,,
0.89,tch,tch,tch,contingent,speech-like,,
3.794,mam,ru,cds,contingent,syntactic expansion,,
,mam,ru,cds,contingent,syntactic expansion,,
1.98,tch,tch,tch,initiation,speech-like,,
1.992,mam,ru,cds,contingent,syntactic expansion,,
4.08,toy,de,toy,non-contingent,toy,,
7.44,oma,ru,ads,non-contingent,ads,,
,oma,ru,ads,non-contingent,ads,,
,oma,ru,ads,non-contingent,ads,,
3.94,mam,ru,ads,non-contingent,ads,,
0.81,tch,tch,tch,non-contingent,vocalisation,,
3.208,tch,tch,tch,non-contingent,babbling,,
1.516,oma,ru,ads,non-contingent,ads,,
2.17,tch,tch,tch,initiation,babbling,,
0.98,mam,ru,cds,contingent,exclamation,,
2.31,mam,ru,ads,non-contingent,ads,,
2.75,tch,tch,tch,non-contingent,babbling,,
1.19,mam,ru,ads,non-contingent,ads,,
3.97,tch,tch,tch,non-contingent,babbling,,
1.977,tch,tch,tch,non-contingent,babbling,,
2.9,oma,ru,ads,non-contingent,ads,,
2.54,tch,tch,tch,initiation,babbling,,
1.92,mam,ru,cds,contingent,description,,
,mam,ru,cds,contingent,repair 3,,
0.956,oma,ru,cds,contingent,imperative,,
1.98,oma,ru,cds,non-contingent,description,,
1.54,mam,ru,ads,non-contingent,ads,,
0.71,oma,ru,ads,non-contingent,ads,,
0.91,mam,ru,ads,non-contingent,ads,,
1.57,oma,ru,ads,non-contingent,ads,,
1.32,mam,ru,ads,non-contingent,ads,,
1.644,oma,ru,ads,non-contingent,ads,,
1.03,tch,tch,tch,non-contingent,vocalisation,,
2.17,tch,tch,tch,initiation,babbling,,
2.49,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,imperative,,
0.9,tch,tch,tch,non-contingent,vocalisation,,
4.29,tch,tch,tch,non-contingent,babbling,,
1.75,tch,tch,tch,non-contingent,babbling,,
3.187,tch,tch,tch,non-contingent,babbling,,
0.77,tch,tch,tch,non-contingent,vocalisation,,
1.5,tch,tch,tch,non-contingent,babbling,,
12.781,toy,de,toy,non-contingent,toy,,
1.5,tch,tch,tch,initiation,vocalisation,,
1.04,mam,ru,cds,contingent,vocal imitation,,
0.99,tch,tch,tch,contingent,grunting,,
1.57,tch,tch,tch,initiation,grunting,,
0.92,mam,ru,cds,contingent,imperative,,
2.79,oma,ru,cds,contingent,description,,
2.29,tch,tch,tch,contingent,babbling,,
2.052,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,description,,
0.78,oma,ru,cds,contingent,backchannel,,
2.11,tch,tch,tch,contingent,fussing,,
2.49,oma,ru,cds,contingent,description,,
5.157,tch,tch,tch,non-contingent,babbling,,
1.7,tch,tch,tch,non-contingent,babbling,,
1.53,tch,tch,tch,initiation,babbling,,
1.546,pap,de,cds,contingent,vocal imitation,,
1.4,tch,tch,tch,contingent,babbling,,
0.868,pap,de,cds,contingent,repair 1,,
,pap,de,cds,contingent,repair 1,,
5.988,pap,de,cds,contingent,repair 1,,
,pap,de,cds,contingent,question,,
,pap,de,cds,contingent,imperative,,
,pap,de,cds,contingent,scaffolding,,
1.94,pap,de,cds,contingent,question,,
0.72,tch,tch,tch,contingent,vocalisation,,
1.27,tch,tch,tch,non-contingent,babbling,,
4.168,tch,tch,tch,non-contingent,babbling,,
3.1,tch,tch,tch,non-contingent,babbling,,
1.48,tch,tch,tch,non-contingent,babbling,,
0.92,tch,tch,tch,non-contingent,babbling,,
1.73,tch,tch,tch,non-contingent,babbling,,
